toll_point_id_nacional,uf,escopo,regulador,jurisdicao,concessionaria_orgao,lote_concessao,codigo_praca,praca_portico,tipo_ponto,rodovia,km,municipio,sentido,latitude,longitude,eixos,valor_brl,tipo_valor,confianca_valor,confianca_geo,entra_no_calculo_pedagio,classe_cobranca,status_operacional,source_tarifa_url,source_geo_url
br_antt_072_ecovias_capixaba_serra,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,9,54.90,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,2,12.60,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,3,18.90,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,4,25.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,5,31.50,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,6,37.80,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,7,44.10,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,8,50.40,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,9,56.70,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_068_ecovias_capixaba_itapemirim,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P6 - Itapemirim ,praca_fisica,BR-101,398.9,Itapemirim,Crescente/Decrescente,-20.87858600,-40.96611800,2,10.60,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_068_ecovias_capixaba_itapemirim,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P6 - Itapemirim ,praca_fisica,BR-101,398.9,Itapemirim,Crescente/Decrescente,-20.87858600,-40.96611800,3,15.90,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_068_ecovias_capixaba_itapemirim,ES,federal_antt,ANTT,federal,ECOVIAS CAPIXABA,,,P6 - Itapemirim ,praca_fisica,BR-101,398.9,Itapemirim,Crescente/Decrescente,-20.87858600,-40.96611800,4,21.20,valor_base_oficial_por_praca,alta,alta,sim,cobranca_confirmada,ativo,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
