toll_point_id,uf,regulador,jurisdicao,concessionaria,lote,codigo_praca,nome,tipo_ponto,rodovia,km,municipio,sentido,latitude,longitude,valor_base_categoria1_brl,eixos_2_brl,eixos_3_brl,eixos_4_brl,eixos_5_brl,eixos_6_brl,eixos_7_brl,eixos_8_brl,eixos_9_brl,status_operacional,classe_cobranca,calcular_pedagio,confianca_geo,confianca_valor,source_tarifa_url,source_geo_url
br_antt_059_eco050_araguari_ii,MG,ANTT,federal,ECO050,,,ARAGUARI II,praca_fisica,BR-50,51.5,Araguari,Crescente/Decrescente,-18.75000000,-48.24000000,7.30,14.60,21.90,29.20,36.50,43.80,51.10,58.40,65.70,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_060_eco050_delta,MG,ANTT,federal,ECO050,,,DELTA,praca_fisica,BR-50,198.2,Delta,Crescente/Decrescente,-19.92000000,-47.83000000,5.60,11.20,16.80,22.40,28.00,33.60,39.20,44.80,50.40,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_127_nova_381_free_flow_belo_oriente,MG,ANTT,federal,NOVA 381,,,Free Flow Belo Oriente - P04,portico_free_flow,BR-381,227.5,Belo Oriente,Crescente/Decrescente,-19.34824200,-42.43317500,12.10,24.20,36.30,48.40,60.50,72.60,84.70,96.80,108.90,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_128_nova_381_free_flow_caete,MG,ANTT,federal,NOVA 381,,,Free Flow Caeté - P01,portico_free_flow,BR-381,411.85,Caeté,Crescente/Decrescente,-19.74389700,-43.61528300,15.50,31.00,46.50,62.00,77.50,93.00,108.50,124.00,139.50,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_129_nova_381_free_flow_governador_valadares,MG,ANTT,federal,NOVA 381,,,Free Flow Governador Valadares - P05,portico_free_flow,BR-381,176.55,Governador Valadares,Crescente/Decrescente,-19.02874400,-42.14770800,12.60,25.20,37.80,50.40,63.00,75.60,88.20,100.80,113.40,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_130_nova_381_free_flow_jaguaracu,MG,ANTT,federal,NOVA 381,,,Free Flow Jaguaraçú - P03,portico_free_flow,BR-381,280.15,Jaguaraçu,Crescente/Decrescente,-19.60996700,-42.76623300,15.10,30.20,45.30,60.40,75.50,90.60,105.70,120.80,135.90,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_131_nova_381_free_flow_joao_monlevade,MG,ANTT,federal,NOVA 381,,,Free Flow João Monlevade - P02,portico_free_flow,BR-381,342.27,João Monlevade,Crescente/Decrescente,-19.85394700,-43.13268900,12.90,25.80,38.70,51.60,64.50,77.40,90.30,103.20,116.10,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_099_ecovias_rio_minas_leopoldina,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P09 Leopoldina,praca_fisica,BR-116,784.32,Leopoldina,Crescente/Decrescente,-21.63861100,-42.71027700,14.50,29.00,43.50,58.00,72.50,87.00,101.50,116.00,130.50,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_242_via_mineira_itabirito,MG,ANTT,federal,VIA MINEIRA,,,P1 - Itabirito,praca_fisica,BR-40,577.2,Itabirito,Crescente/Decrescente,-20.27288000,-43.95112000,13.60,27.20,40.80,54.40,68.00,81.60,95.20,108.80,122.40,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_240_via_cristais_paracatu,MG,ANTT,federal,VIA CRISTAIS,,,P1 - Paracatu,praca_fisica,BR-40,17.65,Paracatu,Crescente/Decrescente,-17.09831000,-47.02624000,11.30,22.60,33.90,45.20,56.50,67.80,79.10,90.40,101.70,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_085_ecovias_cerrado_uberlandia,MG,ANTT,federal,ECOVIAS DO CERRADO,,,P1 - UBERLÂNDIA,praca_fisica,BR-365,646.0,Uberlândia,Crescente/Decrescente,-18.88000000,-48.52000000,5.70,11.40,17.10,22.80,28.50,34.20,39.90,45.60,51.30,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_098_ecovias_rio_minas_laranjal,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P10 Laranjal,praca_fisica,BR-116,724.02,Laranjal,Crescente/Decrescente,-21.27833300,-42.41222200,12.80,25.60,38.40,51.20,64.00,76.80,89.60,102.40,115.20,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_way262_p6_perdizes,MG,ANTT,federal,Way-262,BR-262/MG,P6,P6 Perdizes,praca_fisica,BR-262,736.9,Perdizes,Crescente/Decrescente,-19.61761400,-47.34654700,10.30,20.60,30.90,41.20,51.50,61.80,72.10,82.40,92.70,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/way-262/tarifas-de-pedagio/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/way-262/tarifas-de-pedagio/localizacao-das-pracas-de-pedagio
br_antt_way153_p5_campo_florido,MG,ANTT,federal,Way-153 / Rota Sertaneja MG-GO,BR-153/262/GO/MG - Rota Sertaneja,P5,P5 Campo Florido,praca_fisica,BR-262,863.5,Conceição das Alagoas,Crescente/Decrescente,-19.77695100,-48.45821900,14.20,28.40,42.60,56.80,71.00,85.20,99.40,113.60,127.80,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/rota-sertaneja/tarifas-de-pedagio/tarifas-de-pedagio,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_097_ecovias_rio_minas_sao_francisco_gloria,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P11 São Francisco do Glória,praca_fisica,BR-116,664.0,São Francisco do Glória,Crescente/Decrescente,-20.82361100,-42.32111100,11.80,23.60,35.40,47.20,59.00,70.80,82.60,94.40,106.20,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_100_ecovias_rio_minas_sao_joao_manhuacu,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P12 São João do Manhuaçu,praca_fisica,BR-116,610.94,São João do Manhuaçu,Crescente/Decrescente,-20.43027700,-42.16305500,9.70,19.40,29.10,38.80,48.50,58.20,67.90,77.60,87.30,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_096_ecovias_rio_minas_santa_barbara,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P13 Santa Bárbara do Leste,praca_fisica,BR-116,551.88,Santa Bárbara do Leste,Crescente/Decrescente,-19.99166600,-42.14361100,10.70,21.40,32.10,42.80,53.50,64.20,74.90,85.60,96.30,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_102_ecovias_rio_minas_inhapim,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P14 Inhapim,praca_fisica,BR-116,488.7,Inhapim,Crescente/Decrescente,-19.46805500,-42.13388800,13.20,26.40,39.60,52.80,66.00,79.20,92.40,105.60,118.80,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_101_ecovias_rio_minas_engenheiro_caldas,MG,ANTT,federal,ECOVIAS RIO MINAS,,,P15 Engenheiro Caldas,praca_fisica,BR-116,433.6,Engenheiro Caldas,Crescente/Decrescente,-19.02777700,-41.98944400,10.60,21.20,31.80,42.40,53.00,63.60,74.20,84.80,95.40,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_241_via_mineira_lafaiete,MG,ANTT,federal,VIA MINEIRA,,,P2 - Lafaiete,praca_fisica,BR-40,642.85,Conselheiro Lafaiete,Crescente/Decrescente,-20.76702000,-43.80668000,13.60,27.20,40.80,54.40,68.00,81.60,95.20,108.80,122.40,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_238_via_cristais_lagoa_grande,MG,ANTT,federal,VIA CRISTAIS,,,P2 - Lagoa Grande,praca_fisica,BR-40,91.295,Lagoa Grande,Crescente/Decrescente,-17.50598000,-46.56465000,11.40,22.80,34.20,45.60,57.00,68.40,79.80,91.20,102.60,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_087_ecovias_cerrado_monte_alegre,MG,ANTT,federal,ECOVIAS DO CERRADO,,,P2 - MONTE ALEGRE,praca_fisica,BR-365,704.12,Monte Alegre de Minas,Crescente/Decrescente,-18.88000000,-49.04000000,5.70,11.40,17.10,22.80,28.50,34.20,39.90,45.60,51.30,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
br_antt_045_concer_,MG,ANTT,federal,CONCER,,,P3,praca_fisica,BR-40,816.7,Simão Pereira,Crescente/Decrescente,-21.92825200,-43.31628200,14.50,29.00,43.50,58.00,72.50,87.00,101.50,116.00,130.50,ativo,cobranca_confirmada,true,alta,alta,ANTT/dados de tarifas,ANTT/dados-dos-pracas-de-pedagio2_2026.csv
